,Date active,Building address,Unit,Rent,Payment Standard (PS),Ratio,# Beds,# Baths,Months Free,Owner Paid,Rent Stabilized,Postal Code,Building Price Range,Borough,Neighborhood,Parent Neighborhood,Neighborhood3,Property Manager,Number of Floors,Number of Units,Year Built,Active,Amenities,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Probability,URL
10,5/5/2024,129 West 116th Street,4B/1,1500,2624,0.6,Studio,1.0,,,,10026,$$,Manhattan,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.997640951,
11,5/5/2024,129 West 116th Street,5B/1,1450,2624,0.6,Studio,1.0,,,,10026,$$,Manhattan,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.99773051,
12,5/5/2024,129 West 116th Street,5B/3,1500,2624,0.6,Studio,1.0,,,,10026,$$,Manhattan,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.997640951,
13,5/5/2024,129 West 116th Street,5B,1450,2624,0.6,Studio,1.0,,,,10026,$$,Manhattan,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.99773051,
14,5/5/2024,129 West 116th Street,4B/3,1450,2624,0.6,Studio,1.0,,,,10026,$$,Manhattan,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.99773051,
15,5/5/2024,129 West 116th Street,5B/1,1500,2624,0.6,Studio,1.0,,,,10026,$$,Manhattan,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.997640951,
16,5/5/2024,129 West 116th Street,5B/2,1400,2624,0.5,Studio,1.0,,,,10026,$$,Manhattan,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.998330144,
17,5/5/2024,129 West 116th Street,5B/3,1500,2624,0.6,Studio,1.0,,,,10026,$$,Manhattan,Central Harlem,Harlem,Upper Manhattan,Aya Co Living,5.0,10,1920.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,,0.997640951,
18,5/5/2024,141 Hart Street,2-Feb,1400,2624,0.5,Studio,2.5,,,,11206,$,Brooklyn,Bedford-Stuyvesant,,,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,,0.97921172,
19,5/5/2024,141 Hart Street,4-Mar,1400,2624,0.5,Studio,2.5,,,,11206,$,Brooklyn,Bedford-Stuyvesant,,,Aya Co Living,4.0,3,2014.0,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,,0.97921172,
