Date active,Building address,Unit,Rent,Payment Standard (PS),Ratio,# Beds,# Baths,Months Free,Owner Paid,Rent Stabilized,Postal Code,Building Price Range,Neighborhood,Parent Neighborhood,Neighborhood3,Property Manager,Number of Floors,Number of Units,Year Built,Active,Amenities,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Probability
5/9/2024,121 READE Street,3G,4695.0,2696,1.7,1,1.0,nan,nan,nan,10013,$$$,Tribeca,Lower Manhattan,Lower Manhattan,Abington Properties,12.0,121,1997.0,Yes,Elevator(2),Laundry in Building,Live in super,Management Company,nan,Parking / Garage,nan,nan,nan,nan,nan,nan,nan,nan,0.8244081655910275
1/10/2024,42-20 24th Street,33A,4417.0,2696,1.6,1,1.0,nan,nan,nan,11101,$$,Long Island City,nan,nan,Stonehenge Management,44.0,391,2017.0,Yes,Courtyard,Deposit Free,Doorman,Elevator(3),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,Swimming Pool,0.884355734107293
1/10/2024,42-20 24th Street,35K,4505.0,2696,1.7,1,1.0,1.0,nan,nan,11101,$$,Long Island City,nan,nan,Stonehenge Management,44.0,391,2017.0,Yes,Courtyard,Deposit Free,Doorman,Elevator(3),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,Swimming Pool,0.8452000312596752
10/20/2023,203 West 107th Street,1D,3000.0,2696,1.1,1,1.0,nan,nan,nan,10025,$$,Manhattan Valley,Upper West Side,nan,TriHill Management,9.0,30,1910.0,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.988719498864275
3/31/2024,214 Duffield Street,001-49P,3911.0,2696,1.5,1,1.0,nan,nan,nan,11201,$$,Downtown Brooklyn,nan,nan,Avalon Communities,57.0,823,2016.0,Yes,Available Furnished,Doorman,Elevator(4),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,0.9448954628509982
3/31/2024,214 Duffield Street,001-50P,3921.0,2696,1.5,1,1.0,nan,nan,nan,11201,$$,Downtown Brooklyn,nan,nan,Avalon Communities,57.0,823,2016.0,Yes,Available Furnished,Doorman,Elevator(4),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,0.9444900921464475
3/31/2024,214 Duffield Street,001-37X,4188.0,2696,1.6,1,1.0,nan,nan,nan,11201,$$,Downtown Brooklyn,nan,nan,Avalon Communities,57.0,823,2016.0,Yes,Available Furnished,Doorman,Elevator(4),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,0.9135920317443686
1/10/2024,42-20 24th Street,4E,4779.0,2696,1.8,1,1.0,1.0,nan,nan,11101,$$,Long Island City,nan,nan,Stonehenge Management,44.0,391,2017.0,Yes,Courtyard,Deposit Free,Doorman,Elevator(3),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,Swimming Pool,0.7713992624293482
1/10/2024,42-20 24th Street,34E,4788.0,2696,1.8,1,1.0,1.0,nan,nan,11101,$$,Long Island City,nan,nan,Stonehenge Management,44.0,391,2017.0,Yes,Courtyard,Deposit Free,Doorman,Elevator(3),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,Swimming Pool,0.7701655806382214
1/10/2024,340 East 51st Street,2F,4625.0,2696,1.7,1,1.0,1.0,nan,nan,10022,$$$,Midtown East,Midtown,Midtown,Stonehenge Management,14.0,115,1965.0,Yes,Deposit Free,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Cats Allowed,Dogs Allowed,nan,nan,nan,nan,0.8321320625493243
1/10/2024,340 East 51st Street,3H,4775.0,2696,1.8,1,1.0,1.0,nan,nan,10022,$$$,Midtown East,Midtown,Midtown,Stonehenge Management,14.0,115,1965.0,Yes,Deposit Free,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Cats Allowed,Dogs Allowed,nan,nan,nan,nan,0.7713252419442435
1/10/2024,354 East 91st Street,1507,4695.0,2696,1.7,1,1.0,1.0,nan,nan,10128,$$$,Yorkville,Upper East Side,nan,Stonehenge Management,22.0,163,2002.0,Yes,Courtyard,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,nan,nan,nan,0.8244081655910275
1/10/2024,354 East 91st Street,2106,4790.0,2696,1.8,1,1.0,1.0,nan,nan,10128,$$$,Yorkville,Upper East Side,nan,Stonehenge Management,22.0,163,2002.0,Yes,Courtyard,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,nan,nan,nan,0.769266047375074
1/10/2024,780 Greenwich Street,1K,5895.0,2696,2.2,1,1.0,1.0,nan,nan,10014,$$$$,West Village,Greenwich Village,Lower Manhattan,Stonehenge Management,6.0,88,1950.0,Yes,Doorman,Elevator(1),Laundry in Building,Live in super,Management Company,nan,Cats Allowed,Dogs Allowed,nan,nan,nan,nan,nan,nan,0.32570997761921894
1/10/2024,780 Greenwich Street,2M,7795.0,2696,2.9,1,1.0,1.0,nan,nan,10014,$$$$,West Village,Greenwich Village,Lower Manhattan,Stonehenge Management,6.0,88,1950.0,Yes,Doorman,Elevator(1),Laundry in Building,Live in super,Management Company,nan,Cats Allowed,Dogs Allowed,nan,nan,nan,nan,nan,nan,0.016591065607317216
