Date active,Building address,Unit,Rent,Payment Standard (PS),Ratio,# Beds,# Baths,Months Free,Owner Paid,Rent Stabilized,Postal Code,Building Price Range,Neighborhood,Parent Neighborhood,Neighborhood3,Property Manager,Number of Floors,Number of Units,Year Built,Active,Amenities,,,,,,,,,,,,,
5/5/2024,141 Hart Street,1-Mar,1300,2624,0.5,Studio,2.5,,,,11206,$,Bedford-Stuyvesant,,,Aya Co Living,4,3,2014,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,
5/5/2024,141 Hart Street,4-Jan,1350,2624,0.5,Studio,2,,,,11206,$,Bedford-Stuyvesant,,,Aya Co Living,4,3,2014,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Laundry in Building,Management Company,,Roof Deck,Walk up,,,,,
5/5/2024,1433 Dekalb Avenue,8A/2,1800,2624,0.7,Studio,2,,,,11237,$$$,Bushwick,,,Aya Co Living,8,25,2013,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,
5/5/2024,1433 Dekalb Avenue,8A/4,1750,2624,0.7,Studio,2,,,,11237,$$$,Bushwick,,,Aya Co Living,8,25,2013,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,
5/5/2024,1433 Dekalb Avenue,8A/1,1800,2624,0.7,Studio,2,,,,11237,$$$,Bushwick,,,Aya Co Living,8,25,2013,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,
5/5/2024,1433 Dekalb Avenue,8C/4,1800,2624,0.7,Studio,2,,,,11237,$$$,Bushwick,,,Aya Co Living,8,25,2013,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,
5/5/2024,1433 Dekalb Avenue,8A/3,1850,2624,0.7,Studio,2,,,,11237,$$$,Bushwick,,,Aya Co Living,8,25,2013,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,,
5/5/2024,155 Meserole Street,1B/5,1650,2624,0.6,Studio,4,,,,11206,$$,Williamsburg,,,Aya Co Living,6,12,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,,,,,,
5/5/2024,155 Meserole Street,1B/1,1300,2624,0.5,Studio,4,,,,11206,$$,Williamsburg,,,Aya Co Living,6,12,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,,,,,,
5/5/2024,155 Meserole Street,1B/7,1300,2624,0.5,Studio,4,,,,11206,$$,Williamsburg,,,Aya Co Living,6,12,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,,,,,,
5/5/2024,155 Meserole Street,1B/2,1450,2624,0.6,Studio,4,,,,11206,$$,Williamsburg,,,Aya Co Living,6,12,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Elevator(1),Furnished Apartments,Laundry in Building,Management Company,,,,,,,
5/5/2024,161 Maujer Street,1B/2,1650,2624,0.6,Studio,2,,,,11206,$$,Williamsburg,,,Aya Co Living,4,8,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,161 Maujer Street,2A/1,1700,2624,0.6,Studio,1.5,,,,11206,$$,Williamsburg,,,Aya Co Living,4,8,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,161 Maujer Street,2A/3,1650,2624,0.6,Studio,1.5,,,,11206,$$,Williamsburg,,,Aya Co Living,4,8,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,161 Maujer Street,2A/1,1700,2624,0.6,Studio,1.5,,,,11206,$$,Williamsburg,,,Aya Co Living,4,8,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,190 East 7th Street,217/3,2400,2624,0.9,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,616,2400,2624,0.9,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,616/3,2550,2624,1,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,519/1,2200,2624,0.8,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,519/2,2000,2624,0.8,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,161 Maujer Street,3B/1,1650,2624,0.6,Studio,2,,,,11206,$$,Williamsburg,,,Aya Co Living,4,8,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,161 Maujer Street,2B/1,1750,2624,0.7,Studio,2,,,,11206,$$,Williamsburg,,,Aya Co Living,4,8,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,161 Maujer Street,2B/3,1650,2624,0.6,Studio,2,,,,11206,$$,Williamsburg,,,Aya Co Living,4,8,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,161 Maujer Street,1B/1,1550,2624,0.6,Studio,2,,,,11206,$$,Williamsburg,,,Aya Co Living,4,8,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,161 Maujer Street,2B/2,1750,2624,0.7,Studio,2,,,,11206,$$,Williamsburg,,,Aya Co Living,4,8,1920,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,163 Stanton Street,1-Nov,2300,2624,0.9,Studio,1,,,,10002,$$$,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5,18,1900,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,163 Stanton Street,2-Nov,2300,2624,0.9,Studio,1,,,,10002,$$$,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5,18,1900,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,163 Stanton Street,1-Jul,2400,2624,0.9,Studio,1,,,,10002,$$$,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5,18,1900,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,163 Stanton Street,2-Jul,2300,2624,0.9,Studio,1,,,,10002,$$$,Lower East Side,Lower Manhattan,Lower Manhattan,Aya Co Living,5,18,1900,Yes,Available Furnished,Available Short Term,Deposit Free,Furnished Apartments,Management Company,,Walk up,,,,,,,
5/5/2024,190 East 7th Street,505/2,2500,2624,1,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,208/3,2400,2624,0.9,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,615/1,2600,2624,1,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,615/3,2450,2624,0.9,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,616/2,2500,2624,1,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,B/1,2350,2624,0.9,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,509/2,2500,2624,1,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,509/1,2400,2624,0.9,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
5/5/2024,190 East 7th Street,208/2,2500,2624,1,Studio,1,,,,10009,$$$,East Village,Lower Manhattan,Lower Manhattan,Aya Co Living,7,124,2000,Yes,Available Furnished,Available Short Term,Deposit Free,Doorman,Elevator(1),Furnished Apartments,Gym,Laundry in Building,Management Company,,Roof Deck,,,
