"Date active","Building address","Unit","Rent","Bed","Bath","Months Free","Owner Paid","Rent Stabilized","Zip Code","Building Price Range","Neighborhood","Parent Neighborhood","Neighborhood3","Property Manager","Number of Floors","Number of Units","Year Built","Active","Amenities"
"2024-01-10","120 East 102ND Street","3A","2495","1","1.0","","","","10029","$","East Harlem","Upper Manhattan","Upper Manhattan","Centennial Properties","5","20","1910","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-01-10","134 ORCHARD Street","4","4495","2","1.0","","","","10002","$$","Lower East Side","Lower Manhattan","Lower Manhattan","Centennial Properties","5","16","1900","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-01-10","134 ORCHARD Street","12","4495","2","1.0","","","","10002","$$","Lower East Side","Lower Manhattan","Lower Manhattan","Centennial Properties","5","16","1900","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-03-25","99 Battery Place","25K","4250","1","1.0","","","","10280","$$$","Battery Park City","Lower Manhattan","Lower Manhattan","Milford Management","28","294","1988","Yes","Doorman","Elevator(2)","Laundry in Building","Live in super","Management Company","","Parking / Garage","Cats Allowed","Dogs Allowed","Roof Deck","","","","","",""
"2024-01-10","145 East 26TH Street","3D","3595","1","1.0","","","","10010","$$","Kips Bay","Midtown","Midtown","Centennial Properties","5","20","1910","Yes","Elevator(1)","Laundry in Building","Management Company","","","","","","","","","","","","",""
"2024-01-10","145 East 26TH Street","4B","3595","1","1.0","","","","10010","$$","Kips Bay","Midtown","Midtown","Centennial Properties","5","20","1910","Yes","Elevator(1)","Laundry in Building","Management Company","","","","","","","","","","","","",""
"2024-01-10","145 East 26TH Street","2D","3595","1","1.0","","","","10010","$$","Kips Bay","Midtown","Midtown","Centennial Properties","5","20","1910","Yes","Elevator(1)","Laundry in Building","Management Company","","","","","","","","","","","","",""
"2024-01-10","147 Avenue A","1R","7495","5","1.5","","","","10009","$$","East Village","Lower Manhattan","Lower Manhattan","Centennial Properties","5","13","1900","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-01-10","151 RIVINGTON Street","2","5495","3","2.0","","","","10002","$$","Lower East Side","Lower Manhattan","Lower Manhattan","Centennial Properties","3","3","1910","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-03-25","200 North End Avenue","PHB","18448","3","3.5","0.5","","","10282","$$$$","Battery Park City","Lower Manhattan","Lower Manhattan","Milford Management","32","106","2008","Yes","Doorman","Elevator(2)","Gym","Laundry in Building","Live in super","Management Company","","Parking / Garage","Cats Allowed","Dogs Allowed","Roof Deck","","","","",""
"2024-01-10","1590 LEXINGTON Avenue","25","3295","2","1.0","","","","10029","$","East Harlem","Upper Manhattan","Upper Manhattan","Centennial Properties","6","25","1910","Yes","Management Company","","Walk up","","","","","","","","","","","","",""
"2024-01-10","16 East 116TH Street","2C","3495","3","2.0","","","","10029","$","East Harlem","Upper Manhattan","Upper Manhattan","Centennial Properties","5","12","1920","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-01-10","16 East 116TH Street","4C","2495","1","1.0","","","","10029","$","East Harlem","Upper Manhattan","Upper Manhattan","Centennial Properties","5","12","1920","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-01-10","195 STANTON Street","5A","7295","4","2.0","","","","10002","$$","Lower East Side","Lower Manhattan","Lower Manhattan","Centennial Properties","6","61","1932","Yes","Elevator(1)","Laundry in Building","Management Company","","","","","","","","","","","","",""
"2024-01-10","195 STANTON Street","4B1","4495","2","1.0","","","","10002","$$","Lower East Side","Lower Manhattan","Lower Manhattan","Centennial Properties","6","61","1932","Yes","Elevator(1)","Laundry in Building","Management Company","","","","","","","","","","","","",""
"2024-01-10","199 East 3RD Street","5A","7495","4","2.0","","","","10009","$$$","East Village","Lower Manhattan","Lower Manhattan","Centennial Properties","6","10","1900","Yes","Laundry in Building","Management Company","","Cats Allowed","Dogs Allowed","Walk up","","","","","","","","","",""
"2024-01-10","199 East 3RD Street","5B","7395","4","2.0","","","","10009","$$$","East Village","Lower Manhattan","Lower Manhattan","Centennial Properties","6","10","1900","Yes","Laundry in Building","Management Company","","Cats Allowed","Dogs Allowed","Walk up","","","","","","","","","",""
"2024-01-10","20 PRINCE Street","39","4995","2","1.0","","","","10012","$$$","Nolita","Lower East Side","Lower Manhattan","Centennial Properties","6","48","1900","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-01-10","20 PRINCE Street","27","4995","2","1.0","","","","10012","$$$","Nolita","Lower East Side","Lower Manhattan","Centennial Properties","6","48","1900","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-01-10","20 PRINCE Street","25","4495","1","1.0","","","","10012","$$$","Nolita","Lower East Side","Lower Manhattan","Centennial Properties","6","48","1900","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-01-10","20 PRINCE Street","40","4495","1","1.0","","","","10012","$$$","Nolita","Lower East Side","Lower Manhattan","Centennial Properties","6","48","1900","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-03-25","200 North End Avenue","4S","7750","2","2.0","","","","10282","$$$$","Battery Park City","Lower Manhattan","Lower Manhattan","Milford Management","32","106","2008","Yes","Doorman","Elevator(2)","Gym","Laundry in Building","Live in super","Management Company","","Parking / Garage","Cats Allowed","Dogs Allowed","Roof Deck","","","","",""
"2024-03-25","200 North End Avenue","32C","9250","2","2.0","","","","10282","$$$$","Battery Park City","Lower Manhattan","Lower Manhattan","Milford Management","32","106","2008","Yes","Doorman","Elevator(2)","Gym","Laundry in Building","Live in super","Management Company","","Parking / Garage","Cats Allowed","Dogs Allowed","Roof Deck","","","","",""
"2024-03-25","55 West 14th Street","11L","5550","1","1.0","","","","10011","$$$","Flatiron District","Midtown","Midtown","Milford Management","20","245","1965","Yes","Doorman","Elevator(2)","Laundry in Building","Live in super","Management Company","","Parking / Garage","Cats Allowed","Dogs Allowed","Roof Deck","","","","","",""
"2024-03-25","30 West 63rd Street","31J","7600","1","1.0","","","","10023","$$$$","Lincoln Square","Upper West Side","","Milford Management","33","498","1979","Yes","Doorman","Elevator(3)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","Roof Deck","Swimming Pool","","","","",""
"2024-01-10","202 East 13TH Street","5E","6495","2","2.0","","","","10003","$$","East Village","Lower Manhattan","Lower Manhattan","Centennial Properties","5","32","1920","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-01-10","206 East 83RD Street","1E","7295","5","2.5","","","","10028","$$","Yorkville","Upper East Side","","Centennial Properties","5","10","1925","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-01-10","208 East 25TH Street","LE","3495","1","1.0","","","","10010","$$","Kips Bay","Midtown","Midtown","Centennial Properties","5","22","1920","Yes","Laundry in Building","Management Company","","Walk up","","","","","","","","","","","",""
"2024-03-25","30 West 63rd Street","5L","9450","2","2.0","","","","10023","$$$$","Lincoln Square","Upper West Side","","Milford Management","33","498","1979","Yes","Doorman","Elevator(3)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","Roof Deck","Swimming Pool","","","","",""
"2024-01-10","209 East 25TH Street","1A","4395","2","1.0","","","","10010","$$","Kips Bay","","Midtown","Centennial Properties","5","44","1950","Yes","Elevator(1)","Laundry in Building","Management Company","","","","","","","","","","","","",""
"2024-03-25","250 Ashland Place","18M","3517","0","1.0","1.0","","","11217","$$$","Fort Greene","","","Gotham Properties","53","580","2016","Yes","Doorman","Elevator(4)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","Roof Deck","","","","","",""
"2024-03-25","250 Ashland Place","25J","3664","0","1.0","1.0","","","11217","$$$","Fort Greene","","","Gotham Properties","53","580","2016","Yes","Doorman","Elevator(4)","Gym","Laundry in Building","Live in super","Management Company","","Cats Allowed","Dogs Allowed","Roof Deck","","","","","",""
